LncRNA ID	Logfold	URWScore	pvalue	FDR	Rank(Logfold)	Rank(URWScore)
ENSG00000260827	-5.99171863073689	0.36446312705058	0.11219512195122	0.253676470588235	144	272
ENSG00000265787	-5.55482236693225	0.363940928843549	0.11349593495935	0.255474452554745	163	273
ENSG00000240666	2.78574527608539	0.363803062143991	0.113821138211382	0.255474452554745	402	274
ENSG00000237975	-3.34129539759842	0.36320615201187	0.11479674796748	0.256727272727273	335	275
ENSG00000151303	-3.33064733206956	0.362034874493701	0.119674796747967	0.265467625899281	336	276
ENSG00000261009	-5.85527396639883	0.361926365021552	0.119674796747967	0.265467625899281	151	277
ENSG00000253848	3.96610861500042	0.361348886667896	0.12	0.265467625899281	281	278
ENSG00000237525	4.01941345955848	0.360534302531216	0.121626016260163	0.267375886524823	274	279
ENSG00000230432	5.55301161765488	0.360312577876429	0.12260162601626	0.267375886524823	164	280
ENSG00000254545	4.7305055652031	0.360141424233524	0.12260162601626	0.267375886524823	214	281
ENSG00000261606	-4.20941545233982	0.359966752165385	0.12260162601626	0.267375886524823	258	282
ENSG00000257579	-2.8517122541138	0.359087187349282	0.127154471544715	0.275352112676056	390	283
ENSG00000234210	3.56021875051364	0.358916550767498	0.127154471544715	0.275352112676056	322	284
ENSG00000224116	2.83314466439921	0.358415618841433	0.128455284552846	0.27719298245614	394	285
ENSG00000235481	-3.0556913312927	0.357814978517564	0.129105691056911	0.277622377622378	371	286
ENSG00000226012	5.36421666993025	0.356304099102748	0.131707317073171	0.282229965156794	175	287
ENSG00000264222	-7.158756347996	0.355479834591025	0.133658536585366	0.284429065743945	99	288
ENSG00000233901	2.78798302446741	0.355439322281977	0.133658536585366	0.284429065743945	401	289
ENSG00000263873	3.15701999642613	0.355192255529274	0.134634146341463	0.285223367697594	357	290
ENSG00000234380	4.86262404986472	0.35497651160077	0.134959349593496	0.285223367697594	202	291
ENSG00000182021	-3.0070056698909	0.353733983960181	0.138536585365854	0.291156462585034	378	292
ENSG00000183674	5.4578716336627	0.353496686585571	0.139186991869919	0.291156462585034	169	293
ENSG00000226856	4.89599604236305	0.353442680519524	0.139186991869919	0.291156462585034	198	294
ENSG00000236841	4.10305602178064	0.352658417797004	0.140162601626016	0.292203389830508	267	295
ENSG00000261185	4.17161968494698	0.351924665884702	0.141788617886179	0.294276094276094	261	296
ENSG00000240440	2.88207230463909	0.351851452071059	0.142113821138211	0.294276094276094	388	297
ENSG00000260311	-5.45206639857607	0.35005497139881	0.144715447154472	0.297333333333333	170	298
ENSG00000261742	4.27396363834446	0.350028766090593	0.144715447154472	0.297333333333333	252	299
ENSG00000258955	3.20870098992948	0.349717444208624	0.145040650406504	0.297333333333333	348	300
